SubjID,Cond_code,Seq,FB,All_Items,Correct,Incorr,Remain,ElapTime,psgpH,psgpM,psgpL,EAPsgp,Form_Order,Level_Code,PreACorr,PostBCorr,PreBCorr,PostACorr,PreScore,PostScore,Gender,Race,Gain,scale_prea,scale_preb,pre_scaled,scale_posta,scale_postb,post_scaled,gain_scaled
S227,4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2,2,-999,-999,6,10,6,10,F,5,4,-999,42,42,53,-999,53,11
S244,4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,2,15,11,-999,-999,15,11,F,7,-4,70,-999,70,-999,57,57,-13
S245,4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2,2,-999,-999,15,18,15,18,F,8,3,-999,72,72,78,-999,78,6
S246,4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,2,5,7,-999,-999,5,7,F,7,2,41,-999,41,-999,45,45,4
S247,4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2,2,-999,-999,6,5,6,5,M,3,-1,-999,45,45,41,-999,41,-4
S248,4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,2,7,7,-999,-999,7,7,F,6,0,47,-999,47,-999,48,48,1
S264,4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,2,11,9,-999,-999,11,9,F,7,-2,58,-999,58,-999,54,54,-4
S265,4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2,2,-999,-999,9,12,9,12,F,7,3,-999,54,54,61,-999,61,7
S266,4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,2,9,9,-999,-999,9,9,M,7,0,50,-999,50,-999,51,51,1
S267,4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2,2,-999,-999,12,17,12,17,M,7,5,-999,63,63,76,-999,76,13
S268,4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,2,11,15,-999,-999,11,15,M,7,4,58,-999,58,-999,72,72,14
S286,4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2,6,0,1,-999,-999,0,1,M,6,1,27,-999,27,-999,27,27,0
S287,4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,6,-999,-999,1,3,1,3,F,6,2,-999,30,30,36,-999,36,6
S288,4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2,6,0,6,-999,-999,0,6,M,-999,6,27,-999,27,-999,45,45,18
S289,4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,6,-999,-999,3,8,3,8,M,6,5,-999,33,33,50,-999,50,17
S290,4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2,6,2,6,-999,-999,2,6,M,8,4,33,-999,33,-999,39,39,6
S309,4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,3,5,4,-999,-999,5,4,F,-999,-1,41,-999,41,-999,36,36,-5
S310,4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2,3,-999,-999,7,3,7,3,M,7,-4,-999,45,45,36,-999,36,-9
S311,4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,3,6,2,-999,-999,6,2,M,3,-4,41,-999,41,-999,33,33,-8
S312,4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2,3,-999,-999,4,7,4,7,M,3,3,-999,36,36,47,-999,47,11
S313,4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,3,6,3,-999,-999,6,3,F,8,-3,44,-999,44,-999,36,36,-8
S314,4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,3,5,8,-999,-999,5,8,M,3,3,41,-999,41,-999,51,51,10
S321,4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,3,2,2,-999,-999,2,2,F,4,0,33,-999,33,-999,33,33,0
S322,4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2,3,-999,-999,5,8,5,8,M,8,3,-999,42,42,50,-999,50,8
S339,4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,5,1,0,-999,-999,1,0,F,3,-1,27,-999,27,-999,27,27,0
S340,4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2,2,-999,-999,7,11,7,11,M,7,4,-999,48,48,58,-999,58,10
S341,4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,2,9,10,-999,-999,9,10,F,7,1,53,-999,53,-999,57,57,4
S342,4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2,2,-999,-999,8,6,8,6,M,6,-2,-999,48,48,44,-999,44,-4
